CTR22A	CTR22B	CTR22C	CTR37A	CTR37B	CTR37C	CTR37D	CTR205A	CTR205B	CTR205C	CTR205D	CTR205E	CTR205F	CTR205G	SCZ8A	SCZ8B	SCZ8C	SCZ8D	SCZ29A	SCZ29B	SCZ29C	SCZ51A	SCZ51B	SCZ51C	SCZ51D	SCZ51E	SCZ51F	SCZ51G
FAM90A7P	0	0	0	0	2	6	5	0	0	0	0	1	0	2	1	0	0	0	2	0	5	0	0	3	0	0	0	0
FAM90A8P	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FAM90A9P	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM91A1	1682	1767	834	1553	1433	1322	1780	1555	1855	660	1796	1917	2326	1763	2342	3152	2686	2815	2152	2489	2473	2404	2306	2185	2690	851	886	928
FAM92A1	1487	1584	589	784	959	858	1114	810	996	432	1342	1017	1268	1021	1459	1577	2044	1613	954	1024	1181	1249	1531	1109	1196	588	688	614
FAM92A1P1	576	616	215	313	349	356	311	319	342	235	437	334	439	254	577	655	867	591	406	367	443	541	583	349	376	203	261	182
FAM92A1P2	1	0	0	1	1	1	0	1	1	1	2	0	2	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0
FAM92B	24	48	5	62	35	40	32	27	12	39	34	23	37	12	17	30	15	11	43	139	1	60	35	20	40	8	11	17
FAM95A	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
FAM95B1	12	1	5	11	2	9	6	14	4	2	3	1	8	4	3	3	0	32	1	1	1	2	2	8	6	1	3	3
FAM95C	1	0	1	1	1	4	15	2	4	4	1	4	2	1	0	0	0	2	1	3	0	0	1	11	40	0	0	2
FAM96A	1572	1717	548	1059	1322	1409	893	1102	947	697	1186	1187	1397	1019	1459	1415	1725	1098	994	1108	1078	1329	1667	872	931	499	671	620
FAM96AP2	148	153	52	105	102	127	96	121	103	50	115	124	124	93	134	124	164	87	93	125	123	144	153	71	83	55	77	77
FAM96B	2173	2256	839	1415	1725	1568	1078	2002	1759	1450	2024	1759	1982	1634	1837	2477	2333	1453	1288	1647	954	1975	2084	1095	1210	797	885	726
FAM98A	2567	1864	1151	1747	1892	2012	1327	2230	1906	1123	1863	2531	2688	2114	1405	2084	1584	1134	2568	2392	2502	2247	2280	1855	2956	834	991	830
FAM98B	3596	4063	1752	3074	3459	3972	2105	3422	3074	1220	3774	3985	4369	3323	3556	3579	3555	2638	1701	2663	1903	3124	4773	1598	1563	1618	1834	2014
FAM98C	355	251	157	169	221	222	297	360	260	242	252	288	336	169	157	200	222	201	248	156	218	217	177	302	391	91	111	93
FAM99A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FAM99B	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM9A	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	1	2	0	0	2
FAM9B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FAM9C	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	1	1	1	1	0	0	0
FAN1	1778	1270	866	1365	2088	1763	3351	2106	1907	1042	1564	1988	2158	1995	1643	1627	2030	3540	1316	1541	1504	1171	1571	2857	2931	717	695	931
FANCA	640	806	259	376	518	446	1040	1638	906	489	949	1140	1655	1063	755	634	736	2028	497	431	761	663	1434	1084	853	413	565	466
FANCB	140	229	70	75	99	91	164	229	114	74	127	145	230	170	183	181	170	262	70	75	128	122	267	110	149	58	93	59
FANCC	738	1486	479	683	908	860	898	1332	692	447	958	1228	1343	1095	1032	1033	979	1143	678	714	871	858	1654	740	980	412	673	566
FANCD2	1117	2682	639	736	839	902	1099	2567	1344	599	1547	2016	2647	1919	1417	1513	1467	1927	718	830	947	1491	3283	1160	889	726	962	803
FANCD2OS	0	0	0	0	0	0	3	3	0	0	0	2	0	0	0	0	0	3	0	1	0	0	0	3	3	0	0	0
FANCE	707	682	199	283	455	453	371	582	306	298	493	441	532	343	533	386	636	485	303	344	533	303	674	283	391	175	290	245
FANCF	858	940	304	671	502	682	268	637	522	318	666	543	714	602	657	880	811	402	435	677	640	1167	1064	533	515	248	366	324
FANCG	1157	1647	431	593	794	923	834	1604	840	769	1118	1146	1707	1085	1192	1090	1367	1341	763	776	1135	1161	1785	807	870	438	703	561
FANCI	2737	5304	1516	1986	2183	1839	2238	5551	3332	1229	3111	3739	5613	3518	3300	3041	3336	4130	1471	1447	2084	2372	5750	1938	1768	1505	1995	1646
FANCL	551	674	241	296	469	402	567	579	389	242	521	559	560	592	550	540	636	779	269	327	420	334	664	514	492	186	252	226
FANCM	365	404	236	263	355	414	401	553	342	143	304	570	802	566	424	547	466	688	275	357	576	399	589	437	393	238	283	253
FANK1	24	36	27	80	90	62	109	170	85	61	121	100	136	35	71	90	107	100	97	204	60	103	81	178	194	17	25	42
FANK1-AS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAP	124	54	14	18	49	156	34	86	177	72	61	292	44	192	2	14	45	7	2537	539	2094	581	12	292	2113	13	13	33
FAR1	3362	4110	1613	2302	3136	3251	4110	3157	3589	1245	3356	3809	4435	3817	3092	3370	3368	4928	2398	2677	2920	2961	4070	4927	4768	1675	1626	2267
FAR2	179	127	279	188	221	299	239	192	353	112	157	363	204	207	136	190	174	148	327	239	1185	190	145	295	420	187	55	82
FAR2P1	48	29	4	21	33	61	424	344	59	199	193	319	332	855	92	95	123	2743	6	10	89	62	230	5237	3180	100	72	191
FAR2P2	56	68	18	18	34	36	60	69	47	26	15	15	40	171	26	13	59	59	22	21	8	35	43	101	88	18	58	39
FAR2P3	184	162	28	29	92	92	248	164	83	50	37	77	97	537	32	52	110	382	32	25	30	89	100	838	656	39	105	87
FARP1	6819	7845	2975	4314	5322	5067	3943	9396	8085	5267	9554	8033	8891	9922	7208	7150	8159	6616	6972	5555	8543	3658	8750	4582	5568	3162	3936	3428
FARP2	630	598	370	654	717	1073	926	1540	1043	554	771	1026	1207	869	706	674	661	986	593	625	885	566	908	641	921	327	409	472
FARS2	394	494	250	356	459	458	285	571	373	329	492	442	507	361	467	468	454	307	389	497	460	407	405	193	297	144	141	157
FARSA	2441	2429	1215	2160	2427	2518	1506	2846	2532	1952	2624	2792	3120	2084	2364	2401	2563	1694	1767	1886	1499	2394	2806	1292	1605	1077	1077	1128
FARSB	2734	2864	1170	1966	2466	2588	1543	2786	2609	1149	2367	2747	2677	2200	1982	2314	2183	1616	1535	1782	1705	2334	2834	1556	1550	957	1037	1073
FARSBP1	1	3	0	4	3	4	3	4	3	0	4	6	2	4	1	2	1	2	1	1	4	1	1	3	2	1	0	1
FAS	807	434	383	713	714	554	614	608	538	580	558	940	787	593	661	1007	955	724	2501	1310	3331	749	507	1924	2527	179	274	245
FAS-AS1	7	7	4	0	5	3	12	6	2	2	1	9	3	9	9	3	6	14	11	10	32	1	12	22	30	1	2	1
FASLG	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
FASN	29170	13908	7521	13784	19489	23363	13098	22953	18196	13832	18184	16592	24778	13729	14889	15915	16300	13446	11046	10164	6366	10012	20179	7874	8714	5477	9415	10107
FASTK	1060	1134	512	1104	1300	1342	1744	1610	1106	1147	1139	1528	1508	1067	1084	1300	1379	1829	2074	1576	2151	1451	1265	1921	2732	502	528	595
FASTKD1	728	694	384	573	822	778	1099	599	546	311	685	661	836	727	687	683	746	939	421	604	509	765	929	1087	835	309	291	312
FASTKD2	1863	1910	933	1720	1697	1971	1517	1809	2009	838	1692	2047	2068	1867	2010	2261	1888	1893	1586	1984	2092	2440	2288	1734	1602	776	746	888
FASTKD3	519	449	164	257	323	289	328	419	308	137	221	343	325	302	296	293	335	317	197	241	283	236	322	360	368	116	127	151
FASTKD5	1067	1138	409	944	924	857	792	878	799	524	786	952	973	973	959	1162	945	891	570	847	740	879	1139	674	538	381	310	357
FAT1	20798	14367	15346	22957	19234	13220	14625	20648	13290	15971	24284	20776	36611	15802	32090	40759	38046	30525	35317	26253	40622	13243	28143	29929	34780	9498	8704	8398
FAT2	38	23	5	52	37	28	82	33	20	45	26	49	41	55	13	15	8	32	27	38	31	33	34	62	80	8	14	25
FAT3	895	664	3413	1373	3173	1963	3460	3426	2754	1247	874	6287	4571	2260	1006	1209	845	1328	1990	3190	4379	2632	1889	3504	2776	1123	660	1279
FAT4	2245	902	1577	352	1644	3141	1526	1066	1467	765	1294	2406	1358	2611	1221	996	572	1356	6494	3852	16679	610	811	2972	7094	350	377	1056
FATE1	2	0	2	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0
FAU	7876	7256	2403	4047	5464	5425	2932	4752	4554	3722	5329	4180	4878	3369	5040	5559	6001	2989	5297	4515	3928	6938	5539	2944	3933	2092	2464	2241
FAUP1	3890	3714	1183	1862	2814	2798	1406	2227	2192	1727	2625	1986	2369	1645	2501	2789	2997	1408	2334	2322	1968	3387	2852	1413	2016	1083	1193	1206
FAXC	819	785	332	683	1136	1277	979	674	256	310	362	715	720	899	408	456	355	505	81	211	44	184	485	225	187	151	195	421
FAXDC2	967	669	1049	403	912	405	797	1598	1948	465	1307	1498	1007	896	863	1170	1675	1154	1121	981	1401	903	639	1000	1397	797	519	359
FBF1	136	136	167	96	186	170	569	390	363	263	304	472	455	353	158	170	215	616	294	221	534	124	212	665	811	122	146	131
FBL	6081	6365	1972	2452	3689	3291	2060	4140	3582	2215	4764	3301	4098	2965	4322	4196	4940	2901	3554	3023	3719	3670	5262	1879	2451	1680	2132	1642
FBLIM1	724	525	243	653	764	1021	582	1113	917	1194	710	819	657	485	1090	649	1230	1099	1622	824	1615	2039	865	1165	1902	301	390	479
FBLL1	299	338	77	180	444	392	230	308	291	249	276	320	278	455	315	251	270	212	88	104	37	72	186	134	85	60	107	141
FBLN1	14195	12562	3911	1614	6957	10362	3789	10567	9579	9129	10751	11345	5453	12382	9693	7476	9406	6502	41094	22068	69045	7635	14345	15157	21290	5481	4786	3370
FBLN2	1433	429	1323	564	2082	4905	1136	237	282	464	175	4413	736	3343	215	485	619	203	33213	12760	50414	1163	196	3780	17025	251	139	180
FBLN5	1648	500	165	4449	1400	2004	824	1199	403	766	608	778	813	1421	145	711	760	112	8826	4336	7577	1053	275	1447	5803	96	252	466
FBLN7	788	686	266	250	441	136	259	656	460	210	415	478	686	383	402	543	583	348	446	302	82	499	674	582	400	122	304	270
FBN1	17667	2787	2215	3032	8019	15117	5586	5891	3616	13079	6712	10123	9862	16582	1323	5016	5065	1352	118265	30216	64608	8875	3336	27682	156177	1803	1752	2462
FBN2	8275	2363	4000	3528	3956	12231	2779	8199	6786	5862	7319	13208	11073	11626	10304	10727	10147	10190	58435	29168	52699	9836	7382	15202	44766	1569	1111	2240
FBN3	281	312	337	1262	1445	1224	3802	1788	752	503	330	938	1186	766	1158	632	592	3079	286	397	105	320	365	634	350	164	140	519
FBP1	15	0	3	1	3	8	4	3	1	0	1	3	0	2	0	0	0	0	16	12	8	2	5	12	11	3	2	2
FBP2	34	34	7	7	24	29	30	15	1	14	20	19	25	46	5	11	6	21	22	29	35	34	29	78	81	19	17	37
FBRS	2457	1643	917	1526	2067	2123	1901	2651	2201	1771	2704	2410	2732	2379	2019	2213	2695	2630	2166	2041	2183	1256	2334	1876	2278	896	1170	1092
FBRSL1	2625	1638	859	1290	2010	2120	2853	2608	1867	1800	2435	2354	2738	2348	1616	1615	1876	3209	1366	1349	2593	616	2005	2423	2445	645	954	876
FBXL12	676	598	210	315	531	529	640	653	525	496	510	696	646	515	506	479	642	624	843	561	1060	374	505	596	917	223	266	256
FBXL13	27	19	14	26	28	23	41	47	37	27	35	27	63	15	37	38	43	63	34	61	36	41	34	65	49	9	12	25
FBXL14	922	1215	398	650	924	857	647	1284	992	538	1311	1303	1199	969	1139	1131	1233	937	681	831	912	587	1234	494	618	459	485	429
FBXL15	453	478	80	320	400	535	356	509	341	454	437	342	492	318	321	283	319	266	379	390	206	414	381	282	405	81	133	168
FBXL16	2145	1946	589	1585	2349	2230	2201	2052	1285	1162	1663	1206	2134	2059	1549	1299	1924	1725	299	690	40	636	1573	573	450	555	1003	1125
FBXL17	896	1527	1414	1634	1916	2057	1156	1736	2022	588	1911	2190	1950	1645	1504	1857	1711	1129	1527	1974	1861	1808	1334	921	1371	858	637	825
FBXL18	932	828	646	1147	1221	1457	850	1612	1121	901	1214	1281	1762	1426	1110	1626	1405	987	837	1302	1347	770	1276	592	866	481	563	543
FBXL19	1633	1352	632	1206	1693	2121	1411	1908	1574	1254	2008	1665	2353	1737	1328	1155	1287	1631	934	951	694	689	1701	920	1054	523	782	808
FBXL19-AS1	27	45	29	69	52	87	198	149	100	62	158	158	213	208	71	79	90	381	25	66	67	24	153	162	124	45	47	72
FBXL2	401	358	194	254	289	249	338	417	308	333	472	260	373	212	197	318	274	244	369	415	266	491	491	872	868	115	228	224
FBXL20	1940	1282	927	1024	1566	1576	2032	1214	1112	820	1357	1246	1418	1908	1302	1210	1558	2458	799	991	1178	748	1167	1498	1330	673	822	951
FBXL21	4	0	0	0	2	2	3	0	2	0	0	2	1	1	0	0	2	2	0	3	3	1	0	33	44	1	1	0
FBXL22	7	12	13	15	16	31	16	18	26	9	13	44	36	17	11	7	12	15	61	29	57	11	4	13	67	7	7	9
FBXL3	3194	4341	1638	1950	2501	2065	1998	2720	2921	948	3458	2993	2863	3170	3446	4719	4589	2812	1983	2798	2892	2791	3343	1835	1974	1400	1208	1282
FBXL4	550	514	283	526	627	609	489	555	529	255	463	605	721	568	640	535	779	564	604	585	719	714	485	573	839	235	332	220
FBXL5	7521	6533	1912	3048	4327	3742	3209	3676	4316	1933	5071	3491	3795	3702	7884	7022	10305	6778	3940	3467	3456	4063	4984	4207	4008	1826	2464	1675
FBXL6	191	171	102	133	174	197	566	435	286	292	248	358	436	299	171	185	225	732	180	223	201	222	262	457	522	97	113	154
FBXL7	2024	2019	1489	2298	2724	1983	2123	2811	2184	1306	3022	2625	2439	2169	2052	2459	2900	2129	2762	2489	4684	1392	2879	1520	2218	1062	1306	890
FBXL8	25	23	9	19	24	21	36	22	25	39	50	26	30	26	28	39	42	53	65	28	42	30	28	79	193	3	10	5
FBXO10	995	934	788	1253	1217	1535	1469	1860	1977	970	1312	2127	2065	1726	1025	924	899	1587	937	1703	2486	949	918	1062	1061	635	624	835
FBXO11	6556	6188	2707	4690	5392	6080	5148	5741	4934	2318	5571	5802	5994	7258	5865	6159	6009	6675	3490	4652	5581	3186	6810	4503	5147	2612	2788	2879
FBXO15	7	10	11	20	12	19	26	17	9	4	9	22	19	10	8	4	12	16	7	18	20	17	10	13	34	2	10	10
FBXO16	187	148	56	88	132	128	131	105	103	60	120	135	155	122	110	180	207	141	83	169	84	143	154	123	114	52	81	58
FBXO17	1019	553	183	212	455	457	432	445	490	281	523	371	328	291	279	481	566	306	950	430	1406	248	413	553	1172	159	268	157
FBXO18	2119	2165	1282	1860	2411	2596	2301	2703	2483	1859	2796	2818	3046	2723	2668	2528	3031	3353	2521	2267	3416	1934	2799	2240	3240	1151	1214	1122
FBXO2	230	97	72	36	61	80	42	114	87	52	38	40	37	38	16	43	41	14	496	129	338	76	37	131	440	59	39	46
FBXO21	7673	7842	3624	5156	7115	7046	4598	6842	6346	3401	6964	5786	7129	6470	8744	7525	8582	6448	3339	4678	4580	5323	8101	3154	2806	2909	3723	3839
FBXO22	915	756	324	650	587	686	751	727	666	473	757	747	1009	670	715	590	558	702	602	733	622	1061	747	941	955	234	331	256
FBXO22-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO24	13	16	2	7	6	6	16	13	9	9	2	15	7	6	4	4	7	15	16	11	17	5	11	33	48	4	14	5
FBXO25	558	640	299	611	821	896	558	776	501	306	746	663	789	746	565	667	685	488	485	519	615	518	668	346	633	282	309	364
FBXO27	131	50	46	56	59	48	47	57	64	70	43	58	64	72	26	28	46	23	55	65	37	39	59	46	28	26	30	49
FBXO28	2522	3058	963	2641	2211	2529	1793	1881	1933	745	2135	2047	2116	2273	2374	3183	2986	1980	1375	1953	1718	2159	2669	1376	1522	962	1014	1052
FBXO3	1777	2650	792	1741	2233	2376	1599	2168	1643	961	2036	1885	2089	2236	2238	2415	2291	1843	1405	1942	1778	2116	2542	1308	1562	900	841	1018
FBXO30	1938	2764	1479	1772	2111	1937	1632	1804	1674	789	2379	2010	1992	2176	2795	3329	2801	2427	1149	2277	1994	2400	2958	1591	1296	1123	983	935
FBXO31	2433	1969	977	1522	1890	2050	1334	2308	2333	1260	1974	1862	1942	2170	1676	2209	2086	1431	1465	1623	1812	1311	1594	1113	1431	885	937	764
FBXO32	746	624	265	852	1245	1072	995	965	888	1263	864	676	996	676	1803	2444	2858	2103	1972	1886	1388	1039	657	2291	1226	689	348	601
FBXO33	859	1045	405	739	901	931	835	1119	680	387	844	798	1090	838	1085	1003	1305	1156	764	639	745	754	1055	666	857	355	414	468
FBXO34	1746	1462	622	1195	1277	1478	1009	1564	1190	818	1135	1251	1654	1230	1499	1362	1682	1264	1025	1045	1316	1098	1658	1033	1335	533	684	676
FBXO36	332	444	336	266	290	236	243	626	576	231	430	472	603	237	297	330	423	202	419	443	403	322	295	340	358	206	188	194
FBXO38	2029	1634	1006	1580	1416	1934	1961	2200	1821	1022	1376	1918	2245	2238	1836	2197	2110	2491	1377	1545	1846	1895	1862	1833	2114	829	809	849
FBXO39	3	2	1	1	1	4	2	10	6	5	1	8	3	1	0	0	1	0	5	2	24	0	1	36	19	0	1	0
FBXO4	28	21	16	16	31	32	85	42	11	25	28	19	55	45	15	16	7	25	92	38	263	15	19	56	79	3	12	5
FBXO40	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	5	2	0	0	0	0	0	0	0	0
FBXO41	1265	714	248	481	744	1133	810	1007	516	523	266	458	767	581	286	128	120	409	109	116	88	196	203	235	549	137	302	555
FBXO42	3102	2830	1156	1768	2267	2352	2182	2297	1977	1339	2367	2132	2663	2513	2456	2329	2511	2392	1408	1696	1923	1552	2827	1928	1946	1066	1146	1204
FBXO43	19	17	7	3	9	19	22	12	14	11	8	28	19	16	3	6	4	13	16	13	54	6	12	20	37	3	16	4
FBXO44	489	579	286	585	651	618	1173	801	631	584	762	519	744	578	437	455	498	1034	527	659	506	454	496	1292	1516	266	302	332
FBXO45	2480	2480	856	1272	1671	1854	1134	1968	1492	734	1689	1853	1986	1914	1851	2032	1949	1373	888	1215	1123	1382	2171	911	890	724	1075	895
FBXO46	822	687	271	457	773	807	771	677	541	477	675	681	781	722	687	659	804	789	423	440	386	389	727	435	526	215	338	273
FBXO47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FBXO48	76	38	33	16	54	42	89	66	53	40	41	55	63	61	40	47	51	105	30	38	65	28	37	86	70	17	17	16
FBXO5	1591	2665	601	642	1095	856	955	1882	1202	586	1487	1673	1947	1546	1660	1373	1554	1749	660	774	1273	1146	2535	718	719	587	946	731
FBXO6	180	116	70	137	142	151	126	176	139	127	113	133	152	145	103	129	162	128	316	204	310	81	64	121	274	33	47	51
FBXO7	4097	3944	1866	6999	6229	9298	4713	5640	3787	2742	4392	4410	5675	3248	4260	4318	5080	3496	3508	3441	3624	5732	4680	2583	3336	1724	1837	2776
FBXO8	950	936	463	768	705	948	482	861	593	434	702	842	978	704	758	978	914	517	814	1378	865	1049	875	529	682	340	379	365
FBXO9	974	1682	693	1122	1619	1579	2222	1682	1340	880	1471	1750	1612	1520	1393	1847	1908	2108	1196	1447	1591	1013	1619	1454	2814	668	627	634
FBXW10	5	0	4	3	3	1	13	2	3	1	5	6	1	3	1	4	7	20	2	0	14	4	8	22	19	1	3	2
FBXW11	6956	6611	3525	5998	6740	7463	4737	6912	5482	2930	6113	5949	7178	5359	6344	6907	7373	5143	3501	5030	3687	5035	6339	3465	3486	2530	2904	3106
FBXW12	34	20	6	10	12	15	10	15	19	11	9	9	12	14	5	6	16	24	3	1	2	6	8	16	10	9	9	15
FBXW2	4152	3567	1695	2969	3426	3130	3601	3802	3206	1778	3264	3418	3639	4124	4365	5095	4819	4962	3080	3603	4171	2761	4009	3000	4674	1663	1817	1570
FBXW4	257	103	299	245	235	365	242	542	435	445	271	536	506	220	94	28	23	70	553	252	955	441	51	428	896	194	108	198
FBXW4P1	19	4	18	9	22	21	19	32	22	23	24	33	55	17	18	8	9	18	40	15	38	17	16	24	44	17	8	15
FBXW5	1979	1916	771	1993	1945	2347	1599	2961	2277	2129	2673	2655	2952	1886	1708	2115	2301	1882	2984	2504	2693	2055	2185	1674	2716	687	1002	890
FBXW7	2345	1817	763	937	1355	990	1344	1967	1700	893	1761	1651	1569	1826	1474	1225	1451	1794	679	959	744	632	2133	1957	1267	746	781	818
FBXW8	1975	1174	928	835	1231	1036	1177	1852	1582	913	1873	1848	1790	1365	1475	1419	1824	1663	1402	1415	2184	798	1319	1157	1378	670	701	650
FBXW9	354	522	250	450	415	362	305	703	529	452	731	562	763	272	556	522	666	412	515	859	265	729	662	399	453	228	288	291
FCAMR	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCAR	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCER1A	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	1	0
FCER1G	10	18	1	7	7	2	8	12	20	6	4	7	9	5	1	2	5	12	6	5	3	11	9	23	9	1	7	9
FCER2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FCF1	1381	1287	688	993	1153	1316	895	1389	1310	582	1358	1520	1553	1259	1260	1497	1367	1070	1249	1397	1709	1073	1623	854	1455	617	681	688
FCGBP	195	232	35	34	127	44	220	78	114	36	147	30	35	168	183	230	470	247	21	51	47	22	158	1290	130	40	84	36
FCGR1A	1	1	0	5	4	11	14	2	1	1	0	4	5	1	3	8	1	3	1	7	3	4	3	4	2	0	0	6
FCGR1B	0	3	2	6	10	14	13	3	1	0	4	2	9	4	1	4	5	6	3	5	5	2	3	5	6	0	0	3
FCGR1C	1	0	0	2	3	5	2	3	0	1	0	1	1	1	1	1	0	0	0	5	2	0	2	0	0	0	1	0
FCGR2A	40	36	15	42	30	41	19	65	33	3	11	28	33	13	3	7	5	5	32	9	41	6	17	56	27	4	16	22
FCGR2B	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	3	0	1	1
FCGR2C	1	0	1	2	1	0	1	3	0	0	0	1	0	2	3	1	0	0	8	4	15	1	1	2	1	2	3	1
FCGR3A	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	1	0	0	14	3	0	0	0
FCGR3B	1	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
FCGRT	1381	569	806	749	975	1250	751	1327	1112	1414	1430	1634	1199	963	855	1235	1365	842	5128	2924	5867	1671	648	1925	3104	547	369	370
FCHO1	554	503	270	169	284	389	416	372	251	224	330	251	386	351	185	150	254	408	86	126	34	249	399	387	304	152	351	323
FCHO2	1350	1345	899	1081	1277	1445	1421	964	874	339	1060	1191	1287	1292	1078	1186	1340	1451	1203	971	1454	877	1202	1218	1732	486	477	612
FCHSD1	246	130	75	97	111	119	402	233	292	241	215	219	218	169	131	105	229	534	346	146	423	177	192	924	1269	76	77	103
FCHSD2	4059	3122	2421	2501	3891	6080	3586	4667	2707	1442	2140	3403	4175	3122	2012	1569	1635	2442	1449	1424	1659	1429	1866	1808	2513	1218	1512	1951
FCN1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCN2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
FCN3	1	1	0	0	1	0	2	1	2	1	5	6	0	1	1	0	1	2	5	6	8	3	2	0	12	2	1	2
FCRL1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FCRL3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0
FCRL5	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FCRL6	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FCRLA	1	1	1	93	63	81	31	14	14	16	4	9	11	6	1	1	0	0	0	2	0	13	3	0	0	0	10	5
FCRLB	25	17	6	33	18	35	7	18	15	11	17	16	23	9	7	12	6	3	13	9	4	21	13	11	14	2	8	8
FDCSP	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	10	26	2	38	0	0	2	0	1	1
FDFT1	20638	11026	3259	5581	5287	7243	3140	8424	4905	4805	8078	5727	9290	4817	7412	8386	9910	5098	3635	4651	3342	7569	14256	3045	4715	2975	4604	5415
FDPS	3793	4033	1437	2977	2802	2909	2100	4142	2498	2364	3368	2923	4168	2641	2688	3552	3420	2469	1820	2228	1385	3236	5116	1641	2305	1265	1632	1977
FDPSP1	391	389	125	301	258	317	187	356	257	215	313	294	346	267	286	344	370	226	175	217	126	356	508	129	202	126	150	205
FDPSP10	6	3	6	2	6	4	4	3	6	3	4	3	3	6	2	4	3	8	2	3	1	3	1	6	2	1	3	0
FDPSP2	18	18	3	7	13	12	13	17	19	7	15	21	22	15	13	14	12	8	6	8	8	18	22	6	11	3	7	10
FDPSP3	3	2	3	0	0	0	1	6	3	3	4	5	5	2	1	1	1	2	1	0	1	0	5	0	2	0	1	3
FDPSP4	8	3	1	2	8	4	5	6	6	3	6	5	4	11	1	1	6	5	1	1	3	1	7	0	4	1	1	1
FDPSP5	66	80	17	68	73	86	54	118	64	56	89	64	94	66	58	61	83	49	36	36	29	63	99	31	44	34	34	37
FDPSP7	2	0	0	0	0	1	0	1	1	1	1	3	0	2	0	1	0	1	0	0	0	0	0	0	2	1	0	0
FDPSP8	75	90	21	72	51	66	38	88	48	61	65	65	88	70	56	68	69	42	28	36	21	49	91	36	44	29	44	41
FDPSP9	51	81	20	51	50	56	29	65	38	54	55	43	69	39	58	64	63	35	34	57	17	45	98	29	28	17	19	37
FDX1	813	839	280	616	778	741	466	666	732	283	752	840	702	613	824	839	903	600	492	848	583	628	901	404	492	277	269	321
FDX1L	297	268	151	303	269	265	279	373	317	286	329	373	375	245	344	484	421	315	346	387	304	374	411	284	356	135	136	114
FDXACB1	442	343	151	146	211	208	148	256	173	111	178	256	284	222	125	176	136	107	102	196	194	171	293	178	136	94	90	124
FDXR	793	604	344	652	619	505	527	840	448	959	810	863	1147	553	540	692	813	570	721	547	389	1424	719	736	835	243	325	233
FECH	741	585	368	634	530	597	405	824	909	488	932	978	882	718	657	587	663	643	1207	1163	1527	1098	1085	725	1250	411	477	309
